2018-02-28 04:59:43.946965: [training]
2018-02-28 04:59:57.919727: iter: [1/100], train_loss: 0.772900, valid_loss: 0.001564, best_valid_loss: 0.001564, lr: 0.01000
2018-02-28 05:00:11.317532: iter: [2/100], train_loss: 0.014585, valid_loss: 0.001561, best_valid_loss: 0.001561, lr: 0.01000
2018-02-28 05:00:25.828736: iter: [3/100], train_loss: 0.014256, valid_loss: 0.001548, best_valid_loss: 0.001548, lr: 0.01000
2018-02-28 05:00:40.550715: iter: [4/100], train_loss: 0.013814, valid_loss: 0.001509, best_valid_loss: 0.001509, lr: 0.01000
2018-02-28 05:00:54.746878: iter: [5/100], train_loss: 0.013624, valid_loss: 0.001519, best_valid_loss: 0.001509, lr: 0.01000
2018-02-28 05:01:08.815378: iter: [6/100], train_loss: 0.013425, valid_loss: 0.001432, best_valid_loss: 0.001432, lr: 0.01000
2018-02-28 05:01:23.247757: iter: [7/100], train_loss: 0.012916, valid_loss: 0.001318, best_valid_loss: 0.001318, lr: 0.01000
2018-02-28 05:01:37.673283: iter: [8/100], train_loss: 0.011708, valid_loss: 0.001169, best_valid_loss: 0.001169, lr: 0.01000
2018-02-28 05:01:51.914823: iter: [9/100], train_loss: 0.010124, valid_loss: 0.000906, best_valid_loss: 0.000906, lr: 0.01000
2018-02-28 05:02:06.162892: iter: [10/100], train_loss: 0.008293, valid_loss: 0.000676, best_valid_loss: 0.000676, lr: 0.01000
2018-02-28 05:02:20.449476: iter: [11/100], train_loss: 0.006233, valid_loss: 0.000501, best_valid_loss: 0.000501, lr: 0.01000
2018-02-28 05:02:34.632500: iter: [12/100], train_loss: 0.005113, valid_loss: 0.000326, best_valid_loss: 0.000326, lr: 0.01000
2018-02-28 05:02:48.841414: iter: [13/100], train_loss: 0.004580, valid_loss: 0.000293, best_valid_loss: 0.000293, lr: 0.01000
2018-02-28 05:03:02.880412: iter: [14/100], train_loss: 0.003767, valid_loss: 0.000197, best_valid_loss: 0.000197, lr: 0.01000
2018-02-28 05:03:17.281315: iter: [15/100], train_loss: 0.003208, valid_loss: 0.000179, best_valid_loss: 0.000179, lr: 0.01000
2018-02-28 05:03:31.442739: iter: [16/100], train_loss: 0.002661, valid_loss: 0.000145, best_valid_loss: 0.000145, lr: 0.01000
2018-02-28 05:03:45.309445: iter: [17/100], train_loss: 0.002076, valid_loss: 0.000139, best_valid_loss: 0.000139, lr: 0.01000
2018-02-28 05:03:59.230121: iter: [18/100], train_loss: 0.001953, valid_loss: 0.000184, best_valid_loss: 0.000139, lr: 0.01000
2018-02-28 05:04:13.769210: iter: [19/100], train_loss: 0.001768, valid_loss: 0.000112, best_valid_loss: 0.000112, lr: 0.01000
2018-02-28 05:04:27.826519: iter: [20/100], train_loss: 0.001623, valid_loss: 0.000106, best_valid_loss: 0.000106, lr: 0.01000
2018-02-28 05:04:41.784903: iter: [21/100], train_loss: 0.001504, valid_loss: 0.000102, best_valid_loss: 0.000102, lr: 0.01000
2018-02-28 05:04:55.802773: iter: [22/100], train_loss: 0.001437, valid_loss: 0.000114, best_valid_loss: 0.000102, lr: 0.01000
2018-02-28 05:05:10.265631: iter: [23/100], train_loss: 0.001296, valid_loss: 0.000098, best_valid_loss: 0.000098, lr: 0.01000
2018-02-28 05:05:24.294779: iter: [24/100], train_loss: 0.001324, valid_loss: 0.000090, best_valid_loss: 0.000090, lr: 0.01000
2018-02-28 05:05:38.459930: iter: [25/100], train_loss: 0.001248, valid_loss: 0.000086, best_valid_loss: 0.000086, lr: 0.01000
2018-02-28 05:05:52.521145: iter: [26/100], train_loss: 0.001259, valid_loss: 0.000098, best_valid_loss: 0.000086, lr: 0.01000
2018-02-28 05:06:06.647074: iter: [27/100], train_loss: 0.001229, valid_loss: 0.000073, best_valid_loss: 0.000073, lr: 0.01000
2018-02-28 05:06:20.645443: iter: [28/100], train_loss: 0.001004, valid_loss: 0.000073, best_valid_loss: 0.000073, lr: 0.01000
2018-02-28 05:06:34.370717: iter: [29/100], train_loss: 0.000968, valid_loss: 0.000072, best_valid_loss: 0.000072, lr: 0.01000
2018-02-28 05:06:48.683680: iter: [30/100], train_loss: 0.000989, valid_loss: 0.000083, best_valid_loss: 0.000072, lr: 0.01000
2018-02-28 05:07:02.319072: iter: [31/100], train_loss: 0.001267, valid_loss: 0.000128, best_valid_loss: 0.000072, lr: 0.01000
2018-02-28 05:07:16.144186: iter: [32/100], train_loss: 0.001118, valid_loss: 0.000071, best_valid_loss: 0.000071, lr: 0.01000
2018-02-28 05:07:30.428107: iter: [33/100], train_loss: 0.000904, valid_loss: 0.000069, best_valid_loss: 0.000069, lr: 0.01000
2018-02-28 05:07:44.480772: iter: [34/100], train_loss: 0.001022, valid_loss: 0.000099, best_valid_loss: 0.000069, lr: 0.01000
2018-02-28 05:07:58.346320: iter: [35/100], train_loss: 0.001025, valid_loss: 0.000101, best_valid_loss: 0.000069, lr: 0.01000
2018-02-28 05:08:12.348146: iter: [36/100], train_loss: 0.001156, valid_loss: 0.000078, best_valid_loss: 0.000069, lr: 0.01000
2018-02-28 05:08:26.763296: iter: [37/100], train_loss: 0.001028, valid_loss: 0.000073, best_valid_loss: 0.000069, lr: 0.01000
2018-02-28 05:08:40.461580: iter: [38/100], train_loss: 0.000892, valid_loss: 0.000070, best_valid_loss: 0.000069, lr: 0.01000
2018-02-28 05:08:54.302995: iter: [39/100], train_loss: 0.000793, valid_loss: 0.000079, best_valid_loss: 0.000069, lr: 0.01000
2018-02-28 05:09:08.623720: iter: [40/100], train_loss: 0.000792, valid_loss: 0.000068, best_valid_loss: 0.000068, lr: 0.01000
2018-02-28 05:09:22.567959: iter: [41/100], train_loss: 0.000934, valid_loss: 0.000069, best_valid_loss: 0.000068, lr: 0.01000
2018-02-28 05:09:36.601851: iter: [42/100], train_loss: 0.000799, valid_loss: 0.000063, best_valid_loss: 0.000063, lr: 0.01000
2018-02-28 05:09:50.440825: iter: [43/100], train_loss: 0.000744, valid_loss: 0.000085, best_valid_loss: 0.000063, lr: 0.01000
2018-02-28 05:10:04.714333: iter: [44/100], train_loss: 0.000887, valid_loss: 0.000066, best_valid_loss: 0.000063, lr: 0.01000
2018-02-28 05:10:18.793138: iter: [45/100], train_loss: 0.000756, valid_loss: 0.000063, best_valid_loss: 0.000063, lr: 0.01000
2018-02-28 05:10:32.670952: iter: [46/100], train_loss: 0.000793, valid_loss: 0.000067, best_valid_loss: 0.000063, lr: 0.01000
2018-02-28 05:10:46.631543: iter: [47/100], train_loss: 0.000958, valid_loss: 0.000069, best_valid_loss: 0.000063, lr: 0.01000
2018-02-28 05:11:00.600255: iter: [48/100], train_loss: 0.000910, valid_loss: 0.000086, best_valid_loss: 0.000063, lr: 0.01000
2018-02-28 05:11:14.421131: iter: [49/100], train_loss: 0.000835, valid_loss: 0.000074, best_valid_loss: 0.000063, lr: 0.01000
