2018-02-28 19:42:28.836675: [training]
2018-02-28 19:42:42.885695: iter: [1/100], train_loss: 0.777088, valid_loss: 0.000817, best_valid_loss: 0.000817, lr: 0.01000
2018-02-28 19:42:56.401699: iter: [2/100], train_loss: 0.007303, valid_loss: 0.000799, best_valid_loss: 0.000799, lr: 0.01000
2018-02-28 19:43:09.646403: iter: [3/100], train_loss: 0.007104, valid_loss: 0.000796, best_valid_loss: 0.000796, lr: 0.01000
2018-02-28 19:43:23.124953: iter: [4/100], train_loss: 0.007021, valid_loss: 0.000763, best_valid_loss: 0.000763, lr: 0.01000
2018-02-28 19:43:36.440261: iter: [5/100], train_loss: 0.006853, valid_loss: 0.000766, best_valid_loss: 0.000763, lr: 0.01000
2018-02-28 19:43:50.152724: iter: [6/100], train_loss: 0.006773, valid_loss: 0.000735, best_valid_loss: 0.000735, lr: 0.01000
2018-02-28 19:44:04.425967: iter: [7/100], train_loss: 0.006685, valid_loss: 0.000711, best_valid_loss: 0.000711, lr: 0.01000
2018-02-28 19:44:18.241014: iter: [8/100], train_loss: 0.006467, valid_loss: 0.000707, best_valid_loss: 0.000707, lr: 0.01000
2018-02-28 19:44:31.943484: iter: [9/100], train_loss: 0.006378, valid_loss: 0.000685, best_valid_loss: 0.000685, lr: 0.01000
2018-02-28 19:44:46.199863: iter: [10/100], train_loss: 0.006291, valid_loss: 0.000651, best_valid_loss: 0.000651, lr: 0.01000
2018-02-28 19:45:18.386928: [training]
2018-02-28 19:45:33.274963: iter: [1/100], train_loss: 0.284684, valid_loss: 0.000878, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:45:47.125873: iter: [2/100], train_loss: 0.007982, valid_loss: 0.000888, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:46:01.665573: iter: [3/100], train_loss: 0.007924, valid_loss: 0.000880, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:46:16.494131: iter: [4/100], train_loss: 0.008086, valid_loss: 0.000893, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:46:30.947578: iter: [5/100], train_loss: 0.007984, valid_loss: 0.000890, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:46:45.293457: iter: [6/100], train_loss: 0.007841, valid_loss: 0.000893, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:46:59.841253: iter: [7/100], train_loss: 0.008063, valid_loss: 0.000886, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:47:14.396736: iter: [8/100], train_loss: 0.008113, valid_loss: 0.000884, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:47:28.776853: iter: [9/100], train_loss: 0.008034, valid_loss: 0.000889, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:47:43.330718: iter: [10/100], train_loss: 0.008005, valid_loss: 0.000893, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:47:57.628065: iter: [11/100], train_loss: 0.007843, valid_loss: 0.000897, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:48:11.787248: iter: [12/100], train_loss: 0.007826, valid_loss: 0.000896, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:48:26.218178: iter: [13/100], train_loss: 0.008046, valid_loss: 0.000888, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:48:40.514354: iter: [14/100], train_loss: 0.008026, valid_loss: 0.000890, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:48:54.734355: iter: [15/100], train_loss: 0.008024, valid_loss: 0.000889, best_valid_loss: 0.000878, lr: 0.01000
2018-02-28 19:49:24.503759: [training]
2018-02-28 19:49:39.002128: iter: [1/100], train_loss: 0.777088, valid_loss: 0.000817, best_valid_loss: 0.000817, lr: 0.01000
2018-02-28 19:49:52.717227: iter: [2/100], train_loss: 0.007303, valid_loss: 0.000799, best_valid_loss: 0.000799, lr: 0.01000
2018-02-28 19:50:06.829989: iter: [3/100], train_loss: 0.007104, valid_loss: 0.000796, best_valid_loss: 0.000796, lr: 0.01000
2018-02-28 19:50:20.556553: iter: [4/100], train_loss: 0.007021, valid_loss: 0.000763, best_valid_loss: 0.000763, lr: 0.01000
2018-02-28 19:50:34.323010: iter: [5/100], train_loss: 0.006853, valid_loss: 0.000766, best_valid_loss: 0.000763, lr: 0.01000
2018-02-28 19:50:48.428576: iter: [6/100], train_loss: 0.006773, valid_loss: 0.000735, best_valid_loss: 0.000735, lr: 0.01000
